event_id,player1_id,player2_id,winner,day
C7660462,C107064369,C107217676,W,485
C7660462,C107064002,C107708783,B,485
C7660462,C107064003,C107703153,W,485
C7660462,C107064265,C107324989,W,485
C7660462,C107064259,C107668445,B,485
C7660462,C107064367,C107217691,B,485
C7660462,C107064000,C107723465,W,485
C7660462,C107064251,C107683058,B,485
C7660462,C107064269,C107317031,W,485
C7660462,C107064256,C107669432,W,485
C7660462,C107063457,C107217676,B,485
C7660462,C107064002,C107703153,B,485
C7660462,C107063485,C107324989,W,485
C7660462,C107063586,C107064259,W,485
C7660462,C107063461,C107064367,W,485
C7660462,C107723465,C107064251,B,485
C7660462,C107063480,C107317031,B,485
C7660462,C107063608,C107669432,B,485
C7660462,C107063457,C107064002,B,485
C7660462,C107324989,C107064259,B,485
C7660462,C107064367,C107723465,W,485
C7660462,C107063480,C107063608,W,485
C7660462,C107063457,C107324989,W,485
C7660462,C107723465,C107063608,W,485
C7660462,C107324989,C107063608,B,485
C7660462,C107708783,C107064003,B,485
C7660462,C107064000,C107683058,W,485
C7660462,C107669432,C107064369,B,485
C7660462,C107317031,C107708783,W,485
C7660462,C107064251,C107064265,B,485
C7660462,C107063461,C107668445,W,485
C7660462,C107063586,C107217691,B,485
C7660462,C107063485,C107683058,W,485
C7660462,C107703153,C107064269,W,485
C7660462,C107217676,C107064256,B,485
C7660462,C107669432,C107708783,B,485
C7660462,C107064251,C107668445,B,485
C7660462,C107063586,C107683058,B,485
C7660462,C107064269,C107217676,B,485
C7660462,C107064259,C107669432,W,485
C7660462,C107064002,C107064251,W,485
C7660462,C107063480,C107063586,W,485
C7660462,C107064367,C107064269,B,485
C7660462,C107669432,C107064251,W,485
C7660462,C107063586,C107064367,W,485
C7660462,C107723465,C107064251,B,485
C7660462,C107063457,C107064367,W,485
C7660462,C107723465,C107064367,B,485
C7660462,C107063608,C107723465,B,485
C7660462,C107324989,C107063608,B,485
