id,name
C7453651,Trick Shot Tournament 1
C7660462,Torneo Mansión Espejismo
C8541013,Quarantined 2 - Mario Tennis Aces
S218231,PKHat's Weejahpalooza | PKHat's Weejahpalooza
S225693,PKHat's Warmupahlooza! | PKHat's Warmupahlooza!
S209015,Aces Championship Series: Qualifier 1 | Singles (Standard)
S231973,PKHat's Birdopahlooza! | PKHat's Birdopalooza
S237695,PKHat's JesusChompahlooza | PKHat's JesusChompahlooza!
S213935,Aces Championship Series: Qualifier 2 | Singles (Standard)
S246018,PKHat's DaisyPeluza | PKHat's DaisyPeluza
S249405,Drops 'n Lobs 2 | Singles Standard
S213937,Aces Championship Series: Qualifier 3 | Singles (Standard)
S248397,Double Bagel Fridays 1 | Mario Tennis Aces
S258092,PKHat's Comebackpahlooza! | PKHat's Comebackpahlooza!
S213942,Aces Championship Series: Qualifier 4 | Singles (Standard)
S258067,Double Bagel Fridays 2 | Mario Tennis Aces
S213943,Aces Championship Series: FINALE | Singles (Standard)
S267731,Hookshotz Replacementpaluza | Standard with a couple changes!
S265099,Cross-Court Chaos #1 | Singles (Standard)
S273743,Cross-Court Chaos #2 | Singles (Standard)
S268984,Double Bagel Fridays 3 | Mario Tennis Aces
S268639,Aces Club Holiday Extravaganza! | Singles (Standard)
S281197,Double Bagel Fridays 4 | Mario Tennis Aces
S229370,GatorLAN Spring 2019 | Mario Tennis Aces
S314488,Cross-Court Chaos #3 | Singles (Standard)
S274465,Heart of Battle | Mario Tennis Aces
S319430,MariTeni: Boom Boom's Day Off | Standard MariTeni
S323798,2 Good Guys impromptu open | Standard Singles
S330947,MariTeni: Luigisuccapalooza | Standard Singles
S327824,Mario Tennis Aces Club Open #4 | Singles (Standard)
S341744,MariTeni: Bill | Standard Singles
S352416,Mario Tennis Aces - Swiss! | Standard Singles
S354814,Mario Tennis Aces Club Open 5 - The Finale | Standard Singles
S364952,2GG: SwitchFest 2019 | Mario Tennis Aces
S401039,PKHat Peteypahlooza (Standard Singles) | Standard Singles
S406125,Trick Shot Tourney #3 | Standard Singles
S411090,Trick Shot Tourney #4 | Standard Singles
S417786,Trick Shot Tourney #5 | Standard Singles
S421480,Trick Shot Tourney #6 | Standard Singles
S424688,Aces Club Holiday Extravaganza: The Second Coming | Standard Singles
S439357,Trick Shot Tourney #8 | Standard Singles
S464814,Trick Shot Tourney: The Big 1 0 | Standard Singles
S469993,Trick Shot Tourney Double 1s (Singles Tourney) | Standard Singles
S474435,Trick Shot Tourney 1 2 Buckle My Shoe (Singles Tourney) | Standard Singles
S478929,Trick Shot Tourney: Bad Luck Boulevard (Singles Tourney) | Standard Singles
S483234,Trick Shot Tourney #14 (Sponsored by Kamek) | Standard Singles
S478096,"Switch to Save Lives | Mario Tennis Aces (1v1, Standard Mode)"
S489979,Trick Shot Tourney #15: La Quinceañera | Standard Singles
S490573,ARMS of Smash: Trick Shot | Mario Tennis Aces (Standard Singles)
S498408,Trick Shot Tourney #16 : Driver's Ed (Singles Tourney) | Standard Singles
S498412,Trick Shot Tourney #16 : Driver's Ed (Singles Tourney) | Amateur Standard Singles
S502471,Trick Shot Tourney #17: Rated T for Tennis | Standard Singles
S502473,Trick Shot Tourney #17: Rated T for Tennis | Amateur Standard Singles
S504524,Mario Tennis Aces European Open | MTA Standard Singles
S506211,Trick Shot Tourney #018: Intro to Aces | Standard Singles
S506213,Trick Shot Tourney #018: Intro to Aces | Amateur Standard Singles
S513662,Trick Shot Tourney #19: Primed and Ready (Singles Tourney) | Standard Singles
S513664,Trick Shot Tourney #19: Primed and Ready (Singles Tourney) | Amateur Standard Singles
S517341,Trick Shot Tourney: The Big 2 0 | Standard Singles
S522590,Trick Shot Tourney #21: A Spooky Delight | Standard Singles
S526032,Trick Shot Tourney #22: The Twilight of Spooktacular | Standard Singles
S521897,The MTAC Spooktacular! | Standard Singles
